text,label
"At Paris, just after dark one gusty evening in the autumn of 18-, I was enjoying the twofold luxury of meditation and a meerschaum, in company with my friend C. Auguste Dupin, in his little back library, or book-closet, au troisième, No. 33, Rue Dunôt, Faubourg St. Germain.",POE
"“That is another of your odd notions,” said the Prefect, who had a fashion of calling every thing “odd” that was beyond his comprehension, and thus lived amid an absolute legion of “oddities.”",POE
"“Perhaps it is the very simplicity of the thing which puts you at fault,” said my friend.",POE
"“I will tell you in a few words; but, before I begin, let me caution you that this is an affair demanding the greatest secrecy, and that I should most probably lose the position I now hold, were it known that I confided it to any one.”",POE
"“Be a little more explicit,” I said.",POE
The method of the theft was not less ingenious than bold.,POE
"After some business transactions, hurried through in his ordinary manner, he produces a letter somewhat similar to the one in question, opens it, pretends to read it, and then places it in close juxtaposition to the other.",POE
"“Yes,” replied the Prefect; “and the power thus attained has, for some months past, been wielded, for political purposes, to a very dangerous extent.",POE
With the employment the power departs.”,POE
"“Oh, yes; and for this reason I did not despair.",POE
"My honor is interested, and, to mention a great secret, the reward is enormous.",POE
"“True,” I observed; “the paper is clearly then upon the premises.",POE
"“True,” said Dupin, after a long and thoughtful whiff from his meerschaum, “although I have been guilty of certain doggrel myself.”",POE
Any man is a dolt who permits a ‘secret’ drawer to escape him in a search of this kind.,POE
"“Sometimes the top of a table, or other similarly arranged piece of furniture, is removed by the person wishing to conceal an article; then the leg is excavated, the article deposited within the cavity, and the top replaced.",POE
You did not take to pieces all the chairs?”,POE
"We divided its entire surface into compartments, which we numbered, so that none might be missed; then we scrutinized each individual square inch throughout the premises, including the two houses immediately adjoining, with the microscope, as before.”",POE
"We examined the moss between the bricks, and found it undisturbed.”",POE
"We removed every carpet, and examined the boards with the microscope.”",POE
“I am not more sure that I breathe than I am that the letter is not at the Hotel.”,POE
"At length I said,— “Well, but G——, what of the purloined letter?",POE
"“Why, yes,” said Dupin, drawlingly, between the whiffs of his meerschaum, “I really—think, G——, you have not exerted yourself—to the utmost in this matter.",POE
"“‘We will suppose,’ said the miser, ‘that his symptoms are such and such; now, doctor, what would you have directed him to take?’",POE
"The latter examined it carefully and deposited it in his pocket-book; then, unlocking an escritoire, took thence a letter and gave it to the Prefect.",POE
"“The measures adopted were not only the best of their kind, but carried out to absolute perfection.",POE
"I knew one about eight years of age, whose success at guessing in the game of ‘even and odd’ attracted universal admiration.",POE
"Our schoolboy replies, ‘odd,’ and loses; but upon the second trial he wins, for he then says to himself, ‘the simpleton had them even upon the first trial, and his amount of cunning is just sufficient to make him have them odd upon the second; I will therefore guess odd;’—he guesses odd, and wins.",POE
"“For its practical value it depends upon this,” replied Dupin; “and the Prefect and his cohort fail so frequently, first, by default of this identification, and, secondly, by ill-admeasurement, or rather through non-admeasurement, of the intellect with which they are engaged.",POE
"This functionary, however, has been thoroughly mystified; and the remote source of his defeat lies in the supposition that the Minister is a fool, because he has acquired renown as a poet.",POE
"“You surprise me,” I said, “by these opinions, which have been contradicted by the voice of the world.",POE
"The French are the originators of this particular deception; but if a term is of any importance—if words derive any value from applicability—then ‘analysis’ conveys ‘algebra’ about as much as, in Latin, ‘ambitus’ implies ‘ambition,’ ‘religio’ ‘religion,’ or ‘homines honesti’ a set of honorable men.”",POE
Mathematical axioms are not axioms of general truth.,POE
"Bryant, in his very learned ‘Mythology,’ mentions an analogous source of error, when he says that ‘although the Pagan fables are not believed, yet we forget ourselves continually, and make inferences from them as existing realities.’",POE
"He must have foreseen, I reflected, the secret investigations of his premises.",POE
"“Yes,” said I, “I remember his merriment well.",POE
"“There is a game of puzzles,” he resumed, “which is played upon a map.",POE
"I found D—— at home, yawning, lounging, and dawdling, as usual, and pretending to be in the last extremity of ennui.",POE
"In this rack, which had three or four compartments, were five or six visiting cards and a solitary letter.",POE
"Here the seal was large and black, with the D—— cipher; there it was small and red, with the ducal arms of the S—— family.",POE
"I bade the Minister good morning, and took my departure at once, leaving a gold snuff-box upon the table.",POE
He had fired it among a crowd of women and children.,POE
"“D——,” replied Dupin, “is a desperate man, and a man of nerve.",POE
For eighteen months the Minister has had her in his power.,POE
"I confess, however, that I should like very well to know the precise character of his thoughts, when, being defied by her whom the Prefect terms ‘a certain personage’ he is reduced to opening the letter which I left for him in the card-rack.”",POE
"For full information on this interesting topic, I must refer the inquisitive reader to the “Isitsöornot” itself; but in the meantime, I shall be pardoned for giving a summary of what I there discovered.",POE
"It seems, however, that this politic damsel (who had been reading Machiavelli, beyond doubt), had a very ingenious little plot in her mind.",POE
"This person went through numerous other and more interesting adventures than those which I related; but the truth is, I felt sleepy on the particular night of their narration, and so was seduced into cutting them short—a grievous piece of misconduct, for which I only trust that Allah will forgive me.",POE
"It came toward us with inconceivable swiftness, throwing up huge waves of foam around its breast, and illuminating all that part of the sea through which it passed, with a long line of fire that extended far off into the distance.",POE
"“‘Although this beast approached us, as I have before said, with the greatest rapidity, it must have been moved altogether by necromancy—for it had neither fins like a fish nor web-feet like a duck, nor wings like the seashell which is blown along in the manner of a vessel; nor yet did it writhe itself forward as do the eels.",POE
"‘Washish squashish,’ and so forth:—that is to say, ‘I am happy to find, my dear Sinbad, that you are really a very excellent fellow; we are now about doing a thing which is called circumnavigating the globe; and since you are so desirous of seeing the world, I will strain a point and give you a free passage upon back of the beast.’”",POE
"“‘The beast,’ continued Sinbad to the caliph, ‘swam, as I have related, up hill and down hill until, at length, we arrived at an island, many hundreds of miles in circumference, but which, nevertheless, had been built in the middle of the sea by a colony of little things like caterpillars.’” (*1) “Hum!” said the king.",POE
"This river was of unspeakable depth, and of a transparency richer than that of amber.",POE
"We shouted with all our might, in the hope of frightening the bird into letting go of its prey, but it merely gave a snort or puff, as if of rage and then let fall upon our heads a heavy sack which proved to be filled with sand!’”",POE
"This thing was of prodigious strength, so that it erected or overthrew the mightiest empires at a breath; but its powers were exercised equally for evil and for good.’”",POE
How long have we been married?—my conscience is getting to be troublesome again.,POE
We had now reached the summit of the loftiest crag.,POE
It was long before I could reason myself into sufficient courage to sit up and look out into the distance.,POE
A panorama more deplorably desolate no human imagination can conceive.,POE
That a mile to the northward is Ambaaren.,POE
"Even while I gazed, this current acquired a monstrous velocity.",POE
"These streaks, at length, spreading out to a great distance, and entering into combination, took unto themselves the gyratory motion of the subsided vortices, and seemed to form the germ of another more vast.",POE
"That of Jonas Ramus, which is perhaps the most circumstantial of any, cannot impart the faintest conception either of the magnificence, or of the horror of the scene—or of the wild bewildering sense of the novel which confounds the beholder.",POE
"It likewise happens frequently, that whales come too near the stream, and are overpowered by its violence; and then it is impossible to describe their howlings and bellowings in their fruitless struggles to disengage themselves.",POE
"In regard to the depth of the water, I could not see how this could have been ascertained at all in the immediate vicinity of the vortex.",POE
"“You have had a good look at the whirl now,” said the old man, “and if you will creep round this crag, so as to get in its lee, and deaden the roar of the water, I will tell you a story that will convince you I ought to know something of the Moskoe-ström.” I placed myself as desired, and he proceeded.",POE
"In fact, we made it a matter of desperate speculation—the risk of life standing instead of labor, and courage answering for capital.",POE
“It is now within a few days of three years since what I am going to tell you occurred.,POE
"This was most unusual—something that had never happened to us before—and I began to feel a little uneasy, without exactly knowing why.",POE
The oldest seaman in Norway never experienced any thing like it.,POE
It was mere instinct that prompted me to do this—which was undoubtedly the very best thing I could have done—for I was too much flurried to think.,POE
“No one ever will know what my feelings were at that moment.,POE
"“By this time the first fury of the tempest had spent itself, or perhaps we did not feel it so much, as we scudded before it, but at all events the seas, which at first had been kept down by the wind, and lay flat and frothing, now got up into absolute mountains.",POE
"I glanced at its face by the moonlight, and then burst into tears as I flung it far away into the ocean.",POE
But while we were up I had thrown a quick glance around—and that one glance was all sufficient.,POE
"The boat made a sharp half turn to larboard, and then shot off in its new direction like a thunderbolt.",POE
"“It may appear strange, but now, when we were in the very jaws of the gulf, I felt more composed than when we were only approaching it.",POE
"These, no doubt, were singular fancies to occupy a man’s mind in such extremity—and I have often thought since, that the revolutions of the boat around the pool might have rendered me a little light-headed.",POE
All this time I had never let go of the ring-bolt.,POE
"This there was no great difficulty in doing; for the smack flew round steadily enough, and upon an even keel—only swaying to and fro, with the immense sweeps and swelters of the whirl.",POE
"“Never shall I forget the sensations of awe, horror, and admiration with which I gazed about me.",POE
"I could not help observing, nevertheless, that I had scarcely more difficulty in maintaining my hold and footing in this situation, than if we had been upon a dead level; and this, I suppose, was owing to the speed at which we revolved.",POE
"Both above and below us were visible fragments of vessels, large masses of building timber and trunks of trees, with many smaller articles, such as pieces of house furniture, broken boxes, barrels and staves.",POE
"“It was not a new terror that thus affected me, but the dawn of a more exciting hope.",POE
"I attracted my brother’s attention by signs, pointed to the floating barrels that came near us, and did everything in my power to make him understand what I was about to do.",POE
The slope of the sides of the vast funnel became momently less and less steep.,POE
A boat picked me up—exhausted from fatigue—and (now that the danger was removed) speechless from the memory of its horror.,POE
"My object is simply, in the first place, to say a few words of Von Kempelen himself (with whom, some years ago, I had the honor of a slight personal acquaintance), since every thing which concerns him must necessarily, at this moment, be of interest; and, in the second place, to look in a general way, and speculatively, at the results of the discovery.",POE
"By-the-way, who is Mr. Kissam? and is not the whole paragraph in the ‘Courier and Enquirer’ a fabrication got up to ‘make a talk’?",POE
"The sentence, no doubt, was thus intended: ‘In less than half a minute, the respiration [being continued, these feelings] diminished gradually, and were succeeded by [a sensation] analogous to gentle pressure on all the muscles.’",POE
"That the passages quoted above, with the other similar ones referred to, gave Von Kempelen the hint, I do not in the slightest degree question; but I repeat, it yet remains to be seen whether this momentous discovery itself (momentous under any circumstances) will be of service or disservice to mankind at large.",POE
"My acquaintance with him was casual altogether; and I am scarcely warranted in saying that I know him at all; but to have seen and conversed with a man of so prodigious a notoriety as he has attained, or will attain in a few days, is not a small matter, as times go.",POE
"We were fellow-sojourners for a week about six years ago, at Earl’s Hotel, in Providence, Rhode Island; and I presume that I conversed with him, at various times, for some three or four hours altogether.",POE
"When the great excitement occurred about the forgery on the house of Gutsmuth & Co., suspicion was directed toward Von Kempelen, on account of his having purchased a considerable property in Gasperitch Lane, and his refusing, when questioned, to explain how he became possessed of the purchase money.",POE
"Opening into the garret where they caught him, was a closet, ten feet by eight, fitted up with some chemical apparatus, of which the object has not yet been ascertained.",POE
"Passing out of the closet with their prisoner, the officers went through a sort of ante-chamber, in which nothing material was found, to the chemist’s sleeping-room.",POE
"The supposed brass with which it was filled was all in small, smooth pieces, varying from the size of a pea to that of a dollar; but the pieces were irregular in shape, although more or less flat-looking, upon the whole, “very much as lead looks when thrown upon the ground in a molten state, and there suffered to grow cool.”",POE
"All that as yet can fairly be said to be known is, that ‘Pure gold can be made at will, and very readily from lead in connection with certain other substances, in kind and in proportions, unknown.’",POE
"I am impelled, even in the teeth of a world of prejudice, to detail without comment the very remarkable substance of a colloquy, occurring between a sleep-waker and myself.",POE
"“I sent for you to-night,” he said, “not so much to administer to my bodily ailment, as to satisfy me concerning certain psychal impressions which, of late, have occasioned me much anxiety and surprise.",POE
I studied him in his own works as well as in those of his European and American echoes.,POE
"Here upon earth, at least, philosophy, I am persuaded, will always in vain call upon us to look upon qualities as things.",POE
"In sleep-waking, the reasoning and its conclusion—the cause and its effect—are present together.",POE
